etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
61,,,,,,,INF174KA1KU9,Triparty Repo,0.23,,
62,3,6,,8,Mirae Asset Silver ETF,SILVERAG,INF769K01KG6,(A) Silver,97.91,,
62,,,,,,,INF769K01KG6,Net Receivables / (Payables),2.04,,
62,,,,,,,INF769K01KG6,Treps,0.05,,
63,3,6,,15,Motilal Oswal Silver ETF,MOSILVER,INF247L01FZ1,Silver 999 1kg Bar,98.03,,
63,,,,,,,INF247L01FZ1,Net Receivables / (Payables),1.97,,
64,3,6,,19,Nippon India Silver ETF,SILVERBEES,INF204KC1402,Silver 999 (In Kg),98.63,,
64,,,,,,,INF204KC1402,Net Current Assets,1.31,,
64,,,,,,,INF204KC1402,Triparty Repo,0.07,,
64,,,,,,,INF204KC1402,Cash Margin - CCIL,0,,
65,3,6,,2,SBI Silver ETF,SBISILVER,INF200KB1217,Silver,98.36,,
65,,,,,,,INF200KB1217,Net Receivable / Payable,1.64,,
65,,,,,,,INF200KB1217,Treps,0.01,,
66,3,6,,12,Tata Silver Exchange Traded Fund,TATSILV,INF277KA1984,Silver Physical - Purity 999,98.05,,
66,,,,,,,INF277KA1984,Cash / Net Current Asset,1.95,,
66,,,,,,,INF277KA1984,A) Repo,0,,
67,3,6,,20,UTI Silver Exchange Traded Fund,SILVERETF,INF789F1AYK6,Silver Bullion,98.36,,
67,,,,,,,INF789F1AYK6,Net Current Assets,1.64,,
68,3,6,,11,Zerodha Silver ETF,SILVERCASE,INF0R8F01091,Silver,97.33,,
68,,,,,,,INF0R8F01091,Commodity Derivatives,2.07,,
68,,,,,,,INF0R8F01091,Cash & Cash Equivalents,0.6,,
69,2,12,,8,Mirae Asset Hang Seng TECH ETF,MAHKTECH,INF769K01HS7,Alibaba Group Holding Ltd,9.2,,
69,,,,,,,INF769K01HS7,Tencent Holdings Ltd,8.32,,
69,,,,,,,INF769K01HS7,Meituan Class B,8.29,,
69,,,,,,,INF769K01HS7,Semiconductor Manufacturing International Corp,8.16,,
69,,,,,,,INF769K01HS7,NetEase Inc,7.79,,
69,,,,,,,INF769K01HS7,BYD Co Ltd Class H,7.2,,
69,,,,,,,INF769K01HS7,Xiaomi Corp Class B,6.01,,
69,,,,,,,INF769K01HS7,JD.com Inc Class A,5.37,,
69,,,,,,,INF769K01HS7,Kuaishou Technology Class B,5.36,,
69,,,,,,,INF769K01HS7,Trip.com Group Ltd,3.85,,
70,2,12,,19,Nippon India ETF Hang Seng BeES,HNGSNGBEES,INF204KB19I1,Alibaba Group Holding Ltd Ordinary Shares,8.85,,
